Date,Time,File,JPL,RA,DEC,GAIA,RA,DEC,Default,RA
2018-01-24,22:34:33,ad0002,09:52:26.61,07:17:28.80,09:52:26.614,07:17:28.57,09:52:26.612,07:17:28.80,09:52:26.613,07:17:28.57
2018-01-24,22:35:36,ad0003,09:52:26.60,07:17:28.90,09:52:26.585,07:17:28.83,09:52:26.583,07:17:29.03,09:52:26.584,07:17:28.84
2018-01-24,22:36:39,ad0004,09:52:26.58,07:17:29.00,09:52:26.560,07:17:28.88,09:52:26.559,07:17:29.06,09:52:26.559,07:17:28.86
2018-01-24,22:37:41,ad0005,09:52:26.54,07:17:29.10,09:52:26.538,07:17:29.15,09:52:26.538,07:17:29.36,09:52:26.536,07:17:29.14
2018-01-24,22:38:44,ad0006,09:52:26.52,07:17:29.10,09:52:26.515,07:17:29.31,09:52:26.516,07:17:29.41,09:52:26.514,07:17:29.32
2018-01-24,22:39:46,ad0007,09:52:26.51,07:17:29.20,09:52:26.519,07:17:28.99,09:52:26.516,07:17:29.19,09:52:26.511,07:17:29.06
2018-01-24,22:40:49,ad0008,09:52:26.49,07:17:29.30,09:52:26.475,07:17:29.30,09:52:26.474,07:17:29.48,09:52:26.473,07:17:29.30
2018-01-24,22:41:51,ad0009,09:52:26.47,07:17:29.30,09:52:26.467,07:17:29.21,09:52:26.466,07:17:29.39,09:52:26.465,07:17:29.21
2018-01-24,22:51:17,ad0010,09:52:26.31,07:17:29.90,09:52:26.300,07:17:30.14,09:52:26.297,07:17:30.27,09:52:26.299,07:17:30.18
2018-01-24,22:53:20,ad0011,09:52:26.27,07:17:30.00,09:52:26.254,07:17:30.20,09:52:26.254,07:17:30.39,09:52:26.253,07:17:30.19
2018-01-24,22:55:22,ad0012,09:52:26.24,07:17:30.10,09:52:26.224,07:17:30.22,09:52:26.225,07:17:30.38,09:52:26.224,07:17:30.24
2018-01-24,22:57:25,ad0013,09:52:26.20,07:17:30.20,09:52:26.195,07:17:30.45,09:52:26.194,07:17:30.64,09:52:26.195,07:17:30.47
