date,time,file,RA,DEC
2018-01-24,23:10:15,ad0017,12:02:55.945,23:58:18.34
2018-01-29,21:09:23,ad0368,12:01:53.871,24:16:01.05
2018-01-29,21:11:36,ad0369,12:01:53.922,24:16:01.87
2018-01-29,21:13:38,ad0370,12:01:53.850,24:16:01.86
2018-02-06,22:44:39,9,11:59:36.319,24:45:47.30
2018-02-09,22:02:27,463,11:58:34.985,24:56:46.26
2018-02-09,22:03:00,464,11:58:35.029,24:56:45.32
2018-02-09,22:03:33,465,11:58:35.023,24:56:45.42
2018-02-11,23:47:32,229,11:57:49.080,25:04:20.56
2018-02-11,23:48:06,230,11:57:49.062,25:04:20.58
2018-02-11,23:49:45,233,11:57:49.039,25:04:20.87
2018-02-15,22:08:09,,11:56:15.264,25:18:28.40
2018-02-22,22:31:47,,11:53:08.298,25:42:25.06
2018-03-07,20:57:45,78,11:46:36.112,26:19:27.16
