date,time,file,RA,DEC
2001-10-27,21:49:14,1,02:32:15.302,11:42:54.01
2001-10-27,21:56:47,2,02:32:15.107,11:42:54.04
2003-01-26,20:35:09,1,04:18:55.582,36:10:41.86
2003-01-26,21:43:23,2,04:18:55.181,36:10:38.76
2004-02-01,22:25:17,,07:11:09.554,46:22:15.55
2004-02-01,22:30:45,,07:11:09.415,46:22:15.42
2004-02-08,21:25:16,,07:07:15.304,46:15:21.11
2004-02-08,21:29:07,,07:07:15.212,46:15:20.97
2004-02-08,21:31:30,,07:07:15.187,46:15:20.70
2004-02-10,22:48:39,,07:06:13.641,46:12:27.31
2004-02-10,22:54:21,,07:06:13.714,46:12:27.61
2004-02-25,22:11:00,,07:00:45.895,45:41:34.23
2004-02-25,22:13:03,,07:00:45.727,45:41:33.93
2007-02-05,23:17:49,1,13:14:21.550,09:21:40.86
2007-02-05,23:23:00,6,13:14:21.513,09:21:41.42
2007-02-12,23:56:34,1,13:13:23.712,09:36:16.06
2007-02-12,00:03:49,8,13:13:23.611,09:36:16.69
2007-03-07,22:47:28,1,13:06:36.492,10:33:01.28
2007-03-07,22:53:40,7,13:06:36.376,10:33:01.92
2007-03-12,22:03:27,1,13:04:31.241,10:45:32.49
2007-03-12,23:16:02,2_7,13:04:29.855,10:45:39.63
2007-03-13,22:42:58,1,13:04:03.999,10:48:04.44
2007-03-13,22:50:13,8,13:04:03.862,10:48:05.12
2013-10-17,21:40:52,126,02:49:59.223,14:05:17.25
2013-11-19,22:20:11,23,02:48:47.491,14:05:42.53
2014-09-24,22:49:22,31,05:24:16.714,34:00:06.36
2014-12-12,20:54:32,10,04:54:58.077,38:09:06.05
2015-01-13,19:13:34,19,04:35:47.509,37:57:20.04
2016-01-22,19:10:58,11,07:34:52.026,46:27:21.16
2016-02-10,19:37:20,98,07:22:44.061,46:23:21.67
2016-03-13,20:21:46,7,07:13:53.501,45:06:16.81
2017-01-12,21:33:02,427,10:20:46.735,38:08:50.51
2017-04-04,20:39:42,41,09:39:39.734,39:30:23.86
