date,time,file,RA,DEC
2018-01-31,23:27:21,aad0323,10:47:42.501,00:53:10.240
2018-01-31,23:27:53,aad0324,10:47:42.475,00:53:09.580
2018-02-06,23:17:56,aad0033,10:45:12.833,00:59:53.840
2018-02-06,23:18:59,aad0034,10:45:12.813,00:59:54.260
2018-02-09,22:09:33,aad00471,10:43:53.576,01:04:02.550
2018-02-09,22:10:39,aad00473,10:43:53.532,01:04:02.910
2018-02-11,22:22:26,aad0112,10:42:57.714,01:07:09.860
2018-02-11,22:23:54,aad0113,10:42:57.712,01:07:10.190
2018-02-15,22:17:24,aad0309,10:41:03.043,01:14:01.470
2018-02-15,22:17:56,aad0310,10:41:03.028,01:14:01.940
2018-02-22,22:36:08,aad0132,10:37:33.262,01:27:55.200
2018-02-22,22:36:41,aad0133,10:37:33.256,01:27:54.950
2018-03-07,,,10:31:00.000,01:57:45.34
