date,time,file,RA,DEC
2000-10-18,00:11:15,Apriamus_001,00:24:33.099,14:02:31.63
2000-10-18,00:15:37,Apriamus_002,00:24:33.005,14:02:30.97
2000-11-19,19:14:53,aPRIAMUS.001,00:14:35.495,12:25:18.44
2001-09-29,20:49:35,aPRIAMUS.003,02:51:37.897,27:10:24.14
2001-09-29,20:57:31,aPRIAMUS.004,02:51:37.773,27:10:23.92
2001-10-27,21:35:43,aPRIAMUS.001,02:38:37.455,26:36:56.11
2001-10-27,21:42:26,aPRIAMUS.002,02:38:37.302,26:36:55.50
2003-01-26,21:36:42,apriamus_001_ST9,04:16:07.107,28:32:28.47
2003-01-26,21:38:20,apriamus_002_ST9,04:16:07.102,28:32:28.36
2011-10-15,19:17:30,ad0020,22:47:15.805,01:04:57.82
2011-10-15,19:18:10,ad0021,22:47:15.816,01:04:57.47
2012-10-09,19:12:03,ad0011,01:09:16.884,19:03:53.56
2012-10-09,19:22:26,ad0012,01:09:16.681,19:03:52.55
2013-10-29 ,23:28:01,ad0342,03:18:23.790,28:43:56.13
2013-10-29 ,23:28:19,ad0343,03:18:23.786,28:43:56.26
2014-01-23,17:48:38,ad0007,02:50:50.733,25:17:16.84
2014-01-23,17:54:51,ad0008,02:50:50.767,25:17:16.53
2016-02-02,19:03:08,aad0043,06:54:05.801,25:29:02.97
2016-02-02,19:03:33,aad0044,06:54:05.703,25:29:03.99
